"6/13/19 0:47","","PEDESTRIAN STOP","SUSPECT STOP","BLUM HALL","","FIELD IDENTIFICATION CARD"
"6/13/19 0:50","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","WURSTER HALL","","CLOSED"
"6/13/19 1:00","","MISC. SERVICE","FOUND PROPERTY","ESHLEMAN HALL","","CLOSED"
"6/13/19 1:24","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","UNIT-2 DAVIDSON","","CLOSED"
"6/13/19 1:31","","DISORDERLY CONDUCT","LODGING","LOWER SPROUL GARAGE","","CLOSED"
"6/13/19 1:52","","PEDESTRIAN STOP","PEDESTRIAN STOP","VALLEY LIFE SCIENCE BLDG","","CLOSED"
"6/13/19 2:26","","PEDESTRIAN STOP","SUSPECT STOP","BETWEEN DURANT AND CAL HALL","","FIELD IDENTIFICATION CARD"
"6/13/19 3:18","","PEDESTRIAN STOP","SUSPECT STOP","BAN MILVIA","","WARNING ISSUED"
"6/13/19 6:26","","MISC. SERVICE","CAMPSITE INVESTIGATION","STRAWBERRY POOL","","CLOSED"
"6/13/19 7:19","","WELFARE CHECK","CHECK WELFARE- 911 CALL","600 RED OAK AVE","","CLOSED"
"6/13/19 8:58","","WELFARE CHECK","CHECK WELFARE- 911 CALL","ALUMNI HOUSE","","CLOSED"
"6/13/19 9:18","19-01562","MEDICAL EVENT","INJURY OR ILLNESS","REC SPRT FAC","OCCD 06/13/2019, 0919 (FW-78-E) VICTIM OF INJURY VIA FALL, RSF. WILL SEEK OWN MEDICAL","CLOSED"
"6/13/19 9:25","19-01563","FORGERY AND COUNTERFEITING","FRAUDULENT USE OF CREDIT CARD","BANWAY","OCCD 05/31/2019, UNK TIME (MW-44-E) REPORTS FRAUDULENT USE OF HIS UC BLU CARD, BANWAY. LOSS $100","UNDER INVESTIGATION"
"6/13/19 9:37","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","DONNER LAB","","CLOSED BY CITATION"
"6/13/19 11:08","","WELFARE CHECK","CHECK WELFARE- 911 CALL","LIFE SCIENCE ADDITION","","CLOSED"
"6/13/19 11:14","","TRAFFIC STOP","TRAFFIC STOP","6TH-RED OAK","","WARNING ISSUED"
"6/13/19 11:41","","WELFARE CHECK","WELFARE CHECK","DURANT HALL","","FIELD IDENTIFICATION CARD"
