"6/17/19 0:07","19-01596","BERKELEY MUNICIPAL CODE VIOLATION","BERKELEY MUNICIPAL CODE","DWIGHT TRIANGLE","OCCD 6/17/2019 0022 (MW-62-O) DETAINED FOR VIOLATING BERKELEY MUNICIPAL CODE, DWIGHT TRIANGLE.","CLOSED BY ARREST"
"6/17/19 1:28","","WELFARE CHECK","CHECK WELFARE- 911 CALL","HAAS PAVILION","","CLOSED"
"6/17/19 1:46","","PEDESTRIAN STOP","SUSPECT STOP","LOWER SPROUL PLAZA","","CLOSED"
"6/17/19 5:29","","PEDESTRIAN STOP","SUSPECT STOP","ANNA HEAD LOT","","CLOSED"
"6/17/19 5:37","","PEDESTRIAN STOP","SUSPECT STOP","TANG CENTER","","FIELD IDENTIFICATION CARD"
"6/17/19 7:09","","WELFARE CHECK","CHECK WELFARE- 911 CALL","KOSHLAND HALL","","CLOSED"
"6/17/19 7:32","19-01597","MEDICAL EVENT","INJURY OR ILLNESS","ENERGY BIOSCIENCES INSTITUTE","OCCD 06/17/2019 0732 HRS (MW-71-O) VICTIM OF INJURY, EBI. BFD RESPONDED, MEDICAL REFUSED.","CLOSED"
"6/17/19 7:53","","MISC. SERVICE","MISC SERVICE","SPROUL HALL","","CLOSED"
"6/17/19 8:08","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","DONNER LAB","","CLOSED"
"6/17/19 8:15","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","WALNUT-HEARST","","CLOSED"
"6/17/19 8:33","19-01598","FORGERY AND COUNTERFEITING","FRAUDULENT USE OF CREDIT CARD","BOALT HALL","OCCD UNKNOWN DATE AND TIME (MW-57-E) REPORTS THE FRAUDULENT USE OF HIS UC BLU CARD. NO LOSS.","UNDER INVESTIGATION"
"6/17/19 8:45","19-01599","DISORDERLY CONDUCT","PROWLING/PRIV PROP","HEARST MINING BUILDING","OCCD 06/17/2019 0830 HRS (MO-30-E) REPORTS AN INDIVIDUAL PROWLING, HEARST MINING BUILDING.","UNDER INVESTIGATION"
"6/17/19 9:27","","PEDESTRIAN STOP","PEDESTRIAN STOP","HEARST MINING BUILDING","","FIELD IDENTIFICATION CARD"
"6/17/19 9:34","","TRAFFIC STOP","TRAFFIC STOP","STRUCTURE C","","WARNING ISSUED"
"6/17/19 10:15","","DISORDERLY CONDUCT","LODGING","UNIVERSITY VILLAGE ALBANY","","CLOSED"
"6/17/19 10:48","","ALL OTHER OFFENSES","TRESPASS - FAIL TO LEAVE","UNIVERSITY VILLAGE ALBANY","","CLOSED"
"6/17/19 11:26","","ALL OTHER OFFENSES","DISTURBING THE PEACE","UPPER SPROUL PLAZA","","CLOSED"
"6/17/19 11:29","","TRAFFIC STOP","TRAFFIC STOP","DURANT/TELE","","CLOSED"
"6/17/19 12:55","19-01600","MISC. SERVICE","CIVIL ADVICE","CAMPUS","OCCURRED: 06/17/19 1255 HOURS (MHA-O) CIVIL ADVICE REGARDING SERVING A RESTRAINING ORDER ON A STUDENT, CAMPUS","UNDER INVESTIGATION"
"6/17/19 13:26","","WELFARE CHECK","CHECK WELFARE- 911 CALL","LBNL-91","","CLOSED"
"6/17/19 14:28","19-01601","MEDICAL EVENT","INJURY OR ILLNESS","BARROWS HALL","OCCD 06/17/2019 1428 HRS (MW-71-O) VICTIM OF INJURY, BARROWS HALL. TRANSPORTED VIA BFD TO ALTA BATES HOSPITAL.","CLOSED"
"6/17/19 14:34","19-01602","ALL OTHER OFFENSES","EXCLUSION FROM CAMPUS","UNIVERSITY VILLAGE ALBANY","OCCURRED: 06/17/19 1434 HOURS (MH-66-O) EXCLUDED FROM CAMPUS FOR 7 DAYS, UVA.","UNDER INVESTIGATION"
"6/17/19 15:36","19-01604","WELFARE CHECK","WELFARE CHECK","CAMPUS","OCCURED: 06/17/19 1536 (MX-19-S) CONTACTED FOR WELFARE CHECK, BERKELEY/FOLSOM, PROVED OK.","UNDER INVESTIGATION"
"6/17/19 16:06","","ALL OTHER OFFENSES","RULE VIOLATION","SPROUL HALL","","CLOSED"
"6/17/19 16:29","","","OUTSIDE ASSIST - UCSF","CHILDRENS HOSPITAL","","UNFOUNDED"
"6/17/19 16:40","19-01603","OTHER ASSAULTS","RESISTING ARREST","GENETICS & PLANT BIOLOGY","OCCURRED: 06/17/19 1709 HOURS WILLIAMS, RORY (MB-30-O) ARRESTED FOR RESISTING ARREST, GPB. TO BPD JAIL.","CLOSED BY ARREST"
"6/17/19 16:56","","WELFARE CHECK","CHECK WELFARE- 911 CALL","MATHEMATICAL SCIENCES RESEARCH INSTITUTE","","CLOSED"
"6/17/19 17:41","","ANIMAL CASE","ANIMAL CASE","GREEK THEATER","","CLOSED"
"6/17/19 17:52","","OTHER ASSAULTS","BATTERY","LOWER SPROUL PLAZA","","FIELD IDENTIFICATION CARD"
"6/17/19 21:35","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","MAX MARTINEZ","","CLOSED"
"6/17/19 21:43","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","NORTHGATE HALL","","CLOSED"
"6/17/19 22:20","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","2515 CHANNING WAY","","CLOSED"
"6/17/19 22:56","","PEDESTRIAN STOP","SUSPECT STOP","MEMORIAL GLADE","","CANCELLED"
"6/17/19 23:33","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","MAX MARTINEZ","","CLOSED"
"6/17/19 23:43","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","MEMORIAL STADIUM","","CLOSED"
